File,id_provincia,PROVINCIA,same_as_wikidata_provincia,id_municipio,MUNICIPIO,same_as_wikidata_municipio,ESTACION,MAGNITUD,DATE,D01,V01
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-01-01T01:00:00Z,1,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-02-01T01:00:00Z,5,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-03-01T01:00:00Z,1,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-04-01T00:00:00Z,2,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-05-01T00:00:00Z,2,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-06-01T00:00:00Z,3,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-07-01T00:00:00Z,2,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-08-01T00:00:00Z,9,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-09-01T00:00:00Z,10,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-10-01T00:00:00Z,10,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-11-01T01:00:00Z,11,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,1,2018-12-01T01:00:00Z,13,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,6,2018-01-01T01:00:00Z,0.3,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,6,2018-02-01T01:00:00Z,0.7,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,6,2018-03-01T01:00:00Z,0.3,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,6,2018-04-01T00:00:00Z,0.4,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,6,2018-05-01T00:00:00Z,0.3,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,6,2018-06-01T00:00:00Z,0.3,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,6,2018-07-01T00:00:00Z,0.2,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,6,2018-08-01T00:00:00Z,0.5,V
data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,6,2018-09-01T00:00:00Z,0.4,V
