municipio_codigo;municipio_nombre;sexo;rango_edad;poblacion_empadronada
012;Anchuelo;Mujer;De 55 a 59 años;42
012;Anchuelo;Mujer;De 60 a 64 años;24
012;Anchuelo;Mujer;De 65 a 69 años;27
012;Anchuelo;Mujer;De 70 a 74 años;18
012;Anchuelo;Mujer;De 75 a 79 años;13
012;Anchuelo;Mujer;De 80 a 84 años;7
012;Anchuelo;Mujer;De 85 a 89 años;12
012;Anchuelo;Mujer;De 90 a 94 años;4
012;Anchuelo;Mujer;De 95 a 99 años;1
012;Anchuelo;Mujer;De 100 y más años;0
013;Aranjuez;Hombre;De 0 a 4 años;1642
013;Aranjuez;Hombre;De 5 a 9 años;2018
013;Aranjuez;Hombre;De 10 a 14 años;1680
013;Aranjuez;Hombre;De 15 a 19 años;1495
013;Aranjuez;Hombre;De 20 a 24 años;1486
013;Aranjuez;Hombre;De 25 a 29 años;1493
013;Aranjuez;Hombre;De 30 a 34 años;1872
013;Aranjuez;Hombre;De 35 a 39 años;2472
013;Aranjuez;Hombre;De 40 a 44 años;2685
013;Aranjuez;Hombre;De 45 a 49 años;2427
013;Aranjuez;Hombre;De 50 a 54 años;2025
013;Aranjuez;Hombre;De 55 a 59 años;1799
013;Aranjuez;Hombre;De 60 a 64 años;1384
013;Aranjuez;Hombre;De 65 a 69 años;1200
013;Aranjuez;Hombre;De 70 a 74 años;1036
013;Aranjuez;Hombre;De 75 a 79 años;682
013;Aranjuez;Hombre;De 80 a 84 años;546
013;Aranjuez;Hombre;De 85 a 89 años;336
013;Aranjuez;Hombre;De 90 a 94 años;93
013;Aranjuez;Hombre;De 95 a 99 años;13
013;Aranjuez;Hombre;De 100 y más años;3
